Designator,Mid X,Mid Y,Rotation,Layer
R61,-6.375,-98.19,0.0,top
R62,-6.375,-100.18,0.0,top
R64,-6.375,-104.16,0.0,top
R65,-6.375,-106.15,0.0,top
R66,-3.475,-92.22,0.0,top
R67,-3.475,-94.21,0.0,top
R68,-3.475,-96.2,0.0,top
R69,-3.475,-98.19,0.0,top
R71,-3.475,-102.17,0.0,top
R86,15.255,-94.21,0.0,top
R87,15.255,-96.2,0.0,top
R92,15.255,-100.18,0.0,top
R96,15.255,-102.17,0.0,top
R99,15.255,-104.16,0.0,top
RJ1,78.0,-59.845,0.0,top
SW1,55.0,-133.0,0.0,bottom
TP44,1.875,-119.355,0.0,top
TP45,1.875,-121.355,0.0,top
TP46,1.875,-123.355,0.0,top
TP47,1.875,-125.355,0.0,top
TP48,1.875,-127.355,0.0,top
U1,136.4,-133.525,0.0,bottom
U10,6.45,-93.45,0.0,top
U13,6.45,-97.9,0.0,top
U14,-6.78,-109.17,270.0,top
U15,6.45,-102.35,0.0,top
U16,-4.13,-109.17,270.0,top
U19,33.02,-102.65,90.0,top
U2,63.46,-54.2025,0.0,bottom
U20,32.88,-110.92,180.0,top
U21,18.28,-113.43,0.0,top
U23,160.5,-127.2,270.0,top
U3,95.35794,-132.924,0.0,top
U37,-10.1,-139.79,0.0,top
U38,3.2,-138.93,180.0,top
U4,154.75,-118.2,270.0,top
U49,24.93,-93.5,180.0,top
U50,24.93,-98.05,180.0,top
U8,-9.43,-109.17,270.0,top
U9,155.3,-65.3,270.0,bottom
USB1,99.0,-59.875,180.0,top
USBC1,151.0,-141.5,0.0,bottom
USBC2,117.0,-52.444498,180.0,bottom
Y1,-1.26,-138.391,0.0,top
